queueing.simulacion(5,5,50,[1,3,5,7,9],[2,4,6,8,10])


			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0             0.10727                     0                 0           0.10727          0.10727              0                     0      
       2            2.7322              0.9923                2.7322                 0            0.9923           3.7245              0                2.6249      
       3            5.4371             0.60659                2.7049                 0           0.60659           6.0437              0                4.3375      
       4            8.1747             0.72917                2.7376                 0           0.72917           8.9039              0                6.4685      
       5            8.9744             0.33043               0.79965                 0           0.33043           9.3048              0                 6.539      
       6            9.4509              3.8408               0.47659                 0            3.8408           13.292              0                6.6852      
       7            12.841             0.20631                3.3901           0.45076           0.65707           13.498              1                6.6852      
       8             12.93             0.44725              0.089176           0.56789            1.0151           13.945              2                6.6852      
       9             13.42             0.01942               0.49019           0.52495           0.54437           13.965              2                6.6852      
      10            13.547             0.20882               0.12631           0.41805           0.62687           14.174              2                6.6852      
      11            13.871              1.6895               0.32452           0.30235            1.9919           15.863              3                6.6852      
      12             14.45             0.15903               0.57888             1.413             1.572           16.022              1                6.6852      
      13            16.407              4.0625                1.9566                 0            4.0625           20.469              0                7.0698      
      14            16.774              1.4727               0.36686            3.6956            5.1683           21.942              1                7.0698      
      15            18.692             0.67464                1.9181            3.2502            3.9248           22.617              2                7.0698      
      16            19.106              7.8912               0.41401            3.5108            11.402           30.508              3                7.0698      
      17            20.015              2.7257               0.90879            10.493            13.219           33.233              4                7.0698      
      18            20.368             0.86698               0.35365            12.865            13.732             34.1              5                7.0698      
      19            21.042              1.3863               0.67358            13.059            14.445           35.487              5                7.0698      
      20            21.409              2.9835               0.36681            14.078            17.062            38.47              6                7.0698      
      21            21.587             0.52669               0.17852            16.883             17.41           38.997              7                7.0698      
      22            21.679             0.75772              0.091824            17.318            18.076           39.755              8                7.0698      
      23            22.942              1.5277                1.2628            16.813            18.341           41.282              7                7.0698      
      24            23.772              3.4214               0.83018             17.51            20.932           44.704              8                7.0698      
      25            24.761             0.14618               0.98866            19.943            20.089            44.85              9                7.0698      
      26            24.887             0.30278               0.12626            19.963            20.266           45.153             10                7.0698      
      27            24.977             0.71037               0.08994            20.176            20.886           45.863             11                7.0698      
      28            25.908             0.94975               0.93116            19.955            20.905           46.813             12                7.0698      
      29            26.515              2.4941               0.60735            20.298            22.792           49.307             13                7.0698      
      30            27.692              4.0591                1.1762            21.615            25.675           53.366             14                7.0698      
      31            29.565              4.6846                1.8738            23.801            28.485           58.051             15                7.0698      
      32            31.393              1.8195                1.8276            26.658            28.477            59.87             15                7.0698      
      33             31.83              2.9297               0.43751             28.04            30.969             62.8             16                7.0698      
      34            34.228              1.3368                2.3976            28.572            29.909           64.137             15                7.0698      
      35            36.354              2.7017                2.1256            27.783            30.485           66.838             15                7.0698      
      36            37.549              1.5783                1.1949             29.29            30.868           68.417             16                7.0698      
      37            37.781              1.7511               0.23217            30.636            32.387           70.168             17                7.0698      
      38            37.948              7.4999               0.16685             32.22             39.72           77.668             18                7.0698      
